ISO 639-3	Language Name	Region
mcd	Sharanahua	South America
cbt	Shawi	South America
shp	Shipibo-Conibo	South America
jiv	Shuar	South America
snn	Siona	South America
sri	Siriano	South America
tna	Tacana	South America
ter	Terêna	South America
tob	Toba	South America
tmf	Toba-Maskoy	South America
trn	Trinitario	South America
tri	Trió	South America
cof	Tsafiki	South America
cas	Tsimané	South America
tuo	Tucano	South America
tuf	Tunebo, Central	South America
tue	Tuyuca	South America
ura	Urarina	South America
bao	Waimaha	South America
waw	Waiwai	South America
hub	Wampís	South America
gvc	Wanano	South America
wap	Wapishana	South America
wba	Warao	South America
way	Wayana	South America
guc	Wayuu	South America
hto	Witoto, Minika	South America
huu	Witoto, Murui	South America
noa	Woun Meu	South America
xer	Xerénte	South America
yad	Yagua	South America
yaa	Yaminahua	South America
ame	Yanesha'	South America
guu	Yanomamö	South America
pib	Yine	South America
ycn	Yucuna	South America
yuz	Yuracare	South America
# ============================================================
# PACIFIC / OCEANIA (105 languages)
# ============================================================
ami	Amis	Pacific/Taiwan (Indigenous Formosan)
tao	Yami	Pacific/Taiwan (Indigenous Formosan)
amk	Ambai	Pacific/Melanesia
mmg	Ambrym, North	Pacific/Melanesia
boj	Anjam	Pacific/Melanesia
apr	Arop-Lokep	Pacific/Melanesia
aia	Arosi	Pacific/Melanesia
msy	Aruamu	Pacific/Melanesia
bvc	Baelelea	Pacific/Melanesia
blz	Balantak	Pacific/Melanesia
bjz	Baruga	Pacific/Melanesia
bvz	Bauzi	Pacific/Melanesia
bkd	Binukid	Pacific/Philippines
bnp	Bola	Pacific/Melanesia
ksr	Borong	Pacific/Melanesia
bzh	Buang, Mapos	Pacific/Melanesia
bgt	Bughotu	Pacific/Melanesia
tte	Bwanabwana	Pacific/Melanesia
dnt	Dani, Mid Grand Valley	Pacific/Melanesia
dnw	Dani, Western	Pacific/Melanesia
frd	Fordata	Pacific/Melanesia
gbi	Galela	Pacific/Melanesia
pwg	Gapapaiwa	Pacific/Melanesia
nlg	Gela	Pacific/Melanesia
gri	Ghari	Pacific/Melanesia
had	Hatam	Pacific/Melanesia
hvn	Hawu	Pacific/Melanesia
hap	Hupla	Pacific/Melanesia
imo	Imbongu	Pacific/Melanesia
ipi	Ipili	Pacific/Melanesia
kbq	Kamano	Pacific/Melanesia
gam	Kandawo	Pacific/Melanesia
pss	Kaulong	Pacific/Melanesia
kyg	Keyagana	Pacific/Melanesia
kij	Kilivila	Pacific/Melanesia
geb	Kire	Pacific/Melanesia
kje	Kisar	Pacific/Melanesia
rop	Kriol	Pacific/Australia
kpq	Korupun-Sela	Pacific/Melanesia
kue	Kuman	Pacific/Melanesia
kwd	Kwaio	Pacific/Melanesia
tnk	Kwamera	Pacific/Melanesia
kwf	Kwara'ae	Pacific/Melanesia
kyc	Kyaka	Pacific/Melanesia
lww	Lewo	Pacific/Melanesia
llg	Lole	Pacific/Melanesia
lex	Luang	Pacific/Melanesia
mbh	Mangseng	Pacific/Melanesia
mri	Maori	Pacific/New Zealand
mah	Marshallese	Pacific/Micronesia
klv	Maskelynes	Pacific/Melanesia
met	Mato	Pacific/Melanesia
med	Melpa	Pacific/Melanesia
mee	Mengen	Pacific/Melanesia
mej	Meyah	Pacific/Melanesia
mpp	Migabac	Pacific/Melanesia
mpx	Misima-Panaeati	Pacific/Melanesia
mox	Molima	Pacific/Melanesia
myl	Moma	Pacific/Melanesia
mqf	Momuna	Pacific/Melanesia
mtj	Moskona	Pacific/Melanesia
nas	Naasioi	Pacific/Melanesia
nlc	Nalca	Pacific/Melanesia
lid	Nyindrou	Pacific/Melanesia
ury	Orya	Pacific/Melanesia
stn	Owa	Pacific/Melanesia
pmf	Pamona	Pacific/Melanesia
ata	Pele-Ata	Pacific/Melanesia
pjt	Pitjantjatjara	Pacific/Australia
rai	Ramoaaina	Pacific/Melanesia
lje	Rampi	Pacific/Melanesia
rap	Rapa Nui	Pacific/Polynesia
rug	Roviana	Pacific/Melanesia
